Origine	Destination	Valeur
18	10	3179,085098
18	11	2787,954693
18	12	4377,232002
18	13	7522,603191
18	14	6529,338142
18	15	2340,454285
18	16	11028,43389
18	17	3653,439194
18	18	5481,334885
18	19	299,6709976
18	609	116,3635025
18	615	157,7835999
18	624	75,84609985
19	1	10245,33169
19	2	9896,685127
19	3	10079,51695
19	4	1595,439789
19	5	910,8635101
19	6	5253,934479
19	7	2485,986893
19	8	11803,57825
19	9	6567,401163
19	10	5248,786598
19	11	4294,775658
19	12	7887,800041
19	13	11060,06306
19	14	9639,967724
19	15	4510,248177
19	16	11564,51938
19	17	3272,569016
19	18	3424,483509
19	19	12173,34169
19	609	289,8159943
19	611	187,5830994
19	612	566,2837105
19	617	46,92470169
19	619	170,3179016
19	624	1461,182108
19	626	241,5956039
609	1	17,59810066
609	3	35,19620132
609	5	79,14179993
609	9	17,59810066
609	10	50,17399979
609	11	306,8529892
609	13	135,9828033
609	17	47,99489975
609	609	28,97670078
609	610	147,9843988
609	612	17,59810066
609	613	126,7065964
609	616	279,9703979
609	617	17,59810066
609	619	157,4232979
609	620	20,86650085
610	1	718,3862839
610	2	726,5438232
610	3	145,0030041
610	10	58,00120163
610	12	125,6693001
610	13	386,6745911
610	14	96,66870117
610	17	128,8914948
610	609	54,1344986
610	610	7105,298847
610	611	42,44979858
610	614	792,6829834
610	617	54,1344986
610	619	116,6083031
611	1	27,21139908
611	2	695,1973
611	8	61,05080032
611	9	939,2797909
611	10	22,85759926
611	13	29,38829994
611	14	57,37719917
611	16	367,2958107
611	609	72,65440178
611	611	5433,645878
611	612	711,0343952
611	614	100,7600021
611	617	31,83740044
611	620	414,3755016
611	621	158,3704987
611	622	324,3811016
611	624	94,16490173
612	1	407,1047945
612	2	53,16480064
612	3	212,8033962
612	4	17,66810036
612	5	25,29750061
612	6	22,48670006
612	7	64,81170082
612	8	86,9751997
612	9	771,7339087
612	10	176,0128021
612	12	22,48670006
612	13	88,16630077
612	14	142,1478033
612	16	707,2605028
612	17	33,73000002
612	609	39,03030014
612	610	41,53139877
612	611	1073,21979
612	612	1631,332994
612	613	20,88050079
612	618	22,48670006
612	620	368,6893001
612	622	870,7203808
612	624	36,1393013
612	635	4,818600178
613	1	20,4666996
613	3	249,9880066
613	9	45,8927002
613	10	65,48699951
613	12	30,96859932
613	16	36,86740112
613	610	19,17099953
613	611	19,17099953
613	613	292,1231012
613	614	10,32289982
613	615	212,3562012
613	617	80,69210053
614	1	159,0838013
614	2	21,03590012
614	6	37,25099945
614	8	56,09569931
614	9	21,03590012
614	10	43,8246994
614	14	99,92040253
614	16	32,64550018
614	610	976,6565857
614	611	37,25099945
614	612	12,04640007
614	613	302,3904953
614	614	4096,105789
614	615	78,88459778
614	617	113,9441986
614	619	222,6296005
614	620	105,1793976
614	621	35,05979919
614	622	144,6215973
615	4	62,45090103
615	5	105,9773026
615	9	116,2778015
615	14	45,5
615	611	83,9910965
615	613	162,2911968
615	614	37,91660118
615	615	358,7349949
615	616	17,69440079
615	617	50,7241993
615	618	59,65559959
615	619	26,54170036
616	1	22,95319939
616	2	70,94619751
616	3	22,95319939
616	10	40,34189844
616	11	125,2209988
616	15	20,86650085
616	17	6,955500126
616	610	30,04780006
616	614	92,92559767
616	616	193,3630934
616	617	64,68619919
616	619	183,3272996
616	624	29,21310043
617	1	197,5767078
617	2	165,1794968
617	3	54,99560165
617	9	5,055600166
617	10	14,66549969
617	11	167,1385031
617	12	146,2442017
617	13	185,1822052
617	16	48,88499832
617	17	116,101799
617	609	63,55039978
617	610	1114,249015
617	611	21,91239929
617	612	525,5131836
617	613	596,027503
617	614	1429,997389
617	615	1009,778507
617	617	2541,157086
617	618	150,0270982
617	619	67,95950127
617	621	185,6464996
617	624	90,0802002
618	3	16,69050026
618	13	6,531099796
618	16	16,69050026
618	613	34,46960068
618	614	17,41620064
618	615	194,4812012
618	617	41,07320023
618	618	185,7368021
618	621	13,06219959
619	1	8,169300079
619	9	8,402700424
619	10	8,402700424
619	11	11,37860012
619	610	27,19659901
619	611	35,01119995
619	616	16,33860016
619	619	249,1164007
620	1	107,2638016
620	3	143,4069023
620	4	57,12960053
620	9	539,7386932
620	10	80,47800064
620	12	96,06940079
620	13	102,6001015
620	14	32,64550018
620	16	170,2448006
620	17	350,9389038
620	19	53,0489006
620	609	50,89849854
620	611	2052,584415
620	612	53,63190079
620	617	68,01139832
620	620	3230,222876
620	621	110,1785011
620	622	603,4955997
620	635	17,94869995
621	2	3,40199995
621	612	3,40199995
621	618	19,59320068
621	620	18,71100044
621	621	11,90700007
621	622	3,40199995
622	1	197,2316017
622	2	19,08690071
622	8	351,2466016
622	9	1538,196492
622	10	487,5133991
622	12	257,6736145
622	13	414,1010151
622	14	183,2346001
622	15	19,08690071
622	16	232,2244015
622	17	271,9888
622	610	95,43470001
622	611	728,0075092
622	612	499,6686974
622	614	57,26079941
622	619	42,9455986
622	620	1754,805201
622	621	137,8609977
622	622	10057,95598
622	624	171,7823944
624	1	1596,562695
624	2	2519,118717
624	3	4213,8246
624	4	126,1504021
624	6	1175,907608
624	7	1469,881998
624	8	4726,679102
624	9	3351,734436
624	10	5595,877722
624	11	1372,445198
624	12	2954,154795
624	13	4044,027111
624	14	3818,598637
624	15	371,512907
624	16	5731,99732
624	17	2004,92939
624	18	1028,404509
624	19	366,4167995
624	611	96,55979919
624	613	19,875
624	617	45,8927002
624	620	178,0218048
624	622	257,6736145
624	624	4574,549002
624	626	764,9741106
626	3	53,54150009
626	6	110,2434998
626	7	39,89070129
626	8	18,13209915
626	9	43,51710129
626	12	34,4510994
626	14	244,1089983
626	16	62,7417984
626	17	39,89070129
626	19	27,19820023
626	624	189,4807987
626	626	502,2601042
635	1	64,74420166
635	2	71,48839951
635	8	32,37210083
635	11	47,47909927
635	13	28,39609909
635	610	54,1344986
635	613	64,74420166
635	614	75,53490162
635	635	548,5177011
